system:index,AHGFL1,AHGFL2,AL26EP,AL26EP_ERR,AL26NC,AL26NC_ERR,AL26NP,AL26NP_ERR,ALAMS,ALCORR,ALPROD,ALSELF,ALSNOW,ALSTND,ALTOPO,ALTOTS,AREA,AUTHOR,BASIN,BE10EP,BE10EP_ERR,BE10NC,BE10NC_ERR,BE10NP,BE10NP_ERR,BEAMS,BECORR,BEPROD,BESELF,BESNOW,BESTND,BETOPO,BETOTS,CNTRY,CORDS_ELEV,CRN_SUBCMP,DBDOI,DBVERNO,DIV_ADMIN,DIV_OTHER,EAL_ERR,EAL_GCMYR,EAL_MMKYR,EBE_ERR,EBE_GCMYR,EBE_MMKYR,ELEVATION,ELEV_AVE,ELEV_STD,ERRAL_AMS,ERRAL_MUON,ERRAL_PROD,ERRAL_TOT,ERRBE_AMS,ERRBE_MUON,ERRBE_PROD,ERRBE_TOT,IBRACODE,IBRAREGION,IGSNID,ISL_NAME,LAKE,MATERIAL,METASITEID,OAID,OBSID1,OBSID2,PROJECTION,PROJEPSGID,PUBYEAR,REFDBID,REFDOI,REFID,REGION_INT,REGION_REG,RIVDIV,RIVNAME,SITEID,SITE_COMMT,SIZEMAX,SIZEMIN,SLP_AVE,SLP_STD,SMPID,SMP_COMMT,SMP_DAY,SMP_MONTH,SMP_YEAR,STUDYID,X_WGS84,Y_WGS84,mean,realid,.geo
0000000000000000077b,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Gan,-9999.99,-9999.99,130382.0,13970.0,140000.0,15000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS003,Cha-3,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00439a,NA,0,0,-9999.99,-9999.99,CRNSM00517,NA,-9999,-9999,-9999,S028,115.81186,28.584529,1542.1023652519675,4552,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000770,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Han Shui,-9999.99,-9999.99,93130.0,5588.0,100000.0,6000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS004,Cha-4,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00440a,NA,0,0,-9999.99,-9999.99,CRNSM00518,NA,-9999,-9999,-9999,S028,112.712141,30.817703,887.9931207134223,4525,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000779,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Xiang,-9999.99,-9999.99,111756.0,6519.0,120000.0,7000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS005,Cha-6,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00441a,NA,0,0,-9999.99,-9999.99,CRNSM00519,NA,-9999,-9999,-9999,S028,112.890939,28.338758,1515.0341379009135,4550,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000775,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Yuan,-9999.99,-9999.99,149008.0,8382.0,160000.0,9000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS006,Cha-7,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00442a,NA,0,0,-9999.99,-9999.99,CRNSM00520,NA,-9999,-9999,-9999,S028,111.673247,29.026247,1333.8275145025111,4545,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000748,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Yangtse,-9999.99,-9999.99,232825.0,11176.0,250000.0,12000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS007,Cha-8,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00443a,NA,0,0,-9999.99,-9999.99,CRNSM00521,NA,-9999,-9999,-9999,S028,113.262438,29.766649,793.5002849587031,4453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000076e,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Jialing,-9999.99,-9999.99,186260.0,14901.0,200000.0,16000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS008,Cha-10a,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00444a,NA,0,0,-9999.99,-9999.99,CRNSM00522,NA,-9999,-9999,-9999,S028,106.50769,29.626366,906.3919658972164,4518,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000076f,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Jialing,-9999.99,-9999.99,130382.0,8382.0,140000.0,9000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS009,Cha-10b,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00444a,NA,0,0,-9999.99,-9999.99,CRNSM00522,NA,-9999,-9999,-9999,S028,106.50769,29.626366,906.3919658972164,4519,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074e,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Yangtse,-9999.99,-9999.99,409772.0,17695.0,440000.0,19000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS010,Cha-11,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00445a,NA,0,0,-9999.99,-9999.99,CRNSM00523,NA,-9999,-9999,-9999,S028,106.620236,29.434627,678.1874201201675,4465,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000771,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Min,-9999.99,-9999.99,65191.0,5588.0,70000.0,6000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS011,Cha-12,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00446a,NA,0,0,-9999.99,-9999.99,CRNSM00524,NA,-9999,-9999,-9999,S028,104.567013,28.976255,953.5829432774264,4528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000781,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Min,-9999.99,-9999.99,46565.0,3725.0,50000.0,4000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS012,Cha-13,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00447a,NA,0,0,-9999.99,-9999.99,CRNSM00525,NA,-9999,-9999,-9999,S028,103.761824,29.661921,1010.2718688482328,4578,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000799,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Min,-9999.99,-9999.99,37252.0,2794.0,40000.0,3000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS013,Cha-14,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00448a,NA,0,0,-9999.99,-9999.99,CRNSM00526,NA,-9999,-9999,-9999,S028,103.61093,29.659628,1189.995877134743,4604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000794,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Min,-9999.99,-9999.99,55878.0,7450.0,60000.0,8000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS014,Cha-15,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00449a,NA,0,0,-9999.99,-9999.99,CRNSM00527,NA,-9999,-9999,-9999,S028,103.461924,31.290889,882.9692061075949,4599,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000751,NA,NA,-9999.99,-9999.99,-9999.0,-9999.0,-9999.0,-9999.0,ANU,0.0,-99.999,-9.999,-9.999,NA,-9.999,-99.999,-9999.99,Chappell,Yangtse,-9999.99,-9999.99,540154.0,27939.0,580000.0,30000.0,ANU,0.9313,-99.999,-9.999,-9.999,NIST_30000,-9.999,-99.999,CHN,INTP_ND,XXL,noDOI_CRN-XXL,2017.0,NA,NA,-9999.99,-9.99999,-9999.99,-9999.99,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,NA,not applicable,NA,NA,NA,Sa,NA,OAID-000025,S028WTS015,Cha-16,NA,-9999,2006,Chappell:2006yangtse,10.1016/j.palaeo.2006.06.010,Palaeogeogr_Palaeocl_241,Yangtse Basin,NA,not applicable,not applicable,CRNST00450a,NA,0,0,-9999.99,-9999.99,CRNSM00528,NA,-9999,-9999,-9999,S028,104.54942,28.692895,564.4424774375891,4471,"{""type"":""MultiPoint"",""coordinates"":[]}"
